Player,Equipa,Agente,Rounds,R2.0,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Campeonato
Assafin,OS G,"Omen, Brimstone",85,1.14,197.0,1.1,80.0,127.4,0.65,0.41,0.07,0.07,21.0,,0/7,19,55,50,35,6,6,br_challengers_s2_2022
celestial,4 ru,"Kayo, Reyna, Omen",220,1.14,240.5,1.21,71.0,151.6,0.85,0.29,0.13,0.1,26.0,7%,1/15,26,188,156,63,29,22,br_challengers_s2_2022
swag,VKS,"Viper, Kayo, Killjoy",114,1.14,235.0,1.09,72.0,161.2,0.76,0.17,0.11,0.12,27.0,38%,5/13,27,87,80,19,12,14,br_challengers_s2_2022
Shin,n0gr,"Jett, Neon, Yoru",105,1.14,277.0,1.23,67.0,169.7,0.96,0.1,0.24,0.16,31.0,,0/8,28,101,82,10,25,17,br_challengers_s2_2022
Tea,NEW,"Brimstone, Viper",44,1.13,241.5,1.16,57.0,156.1,0.84,0.23,0.14,0.09,37.0,,0/1,25,37,32,10,6,4,br_challengers_s2_2022
liazzi,LBR,"Kayo, Raze, Neon",348,1.13,264.4,1.19,73.0,168.2,0.87,0.24,0.14,0.1,21.0,21%,6/28,28,303,254,84,47,36,br_challengers_s2_2022
snw,ODK,"Jett, Raze",345,1.13,236.4,1.24,77.0,148.8,0.84,0.17,0.17,0.11,22.0,13%,3/24,25,291,235,57,59,38,br_challengers_s2_2022
havoc,Rene,"Kayo, Skye",173,1.13,238.3,1.13,75.0,156.1,0.83,0.35,0.13,0.12,29.0,,0/12,28,143,126,61,23,21,br_challengers_s2_2022
mega,Bomb,"Cypher, Killjoy, Chamber",454,1.13,221.9,1.25,72.0,145.3,0.78,0.17,0.1,0.07,25.0,45%,21/47,25,356,285,76,46,32,br_challengers_s2_2022
wzL,3P,"Skye, Sova, Raze",291,1.13,223.6,1.14,75.0,147.8,0.76,0.29,0.09,0.08,25.0,3%,1/32,21,220,193,85,27,23,br_challengers_s2_2022
scby,JAMP,"Brimstone, Viper",40,1.13,216.0,1.07,75.0,129.2,0.78,0.35,0.08,0.05,20.0,,0/5,17,31,29,14,3,2,br_challengers_s2_2022
Siscato,BLC,"Viper, Killjoy, Sage",76,1.12,217.3,1.16,70.0,146.8,0.75,0.2,0.09,0.08,22.0,29%,4/14,16,57,49,15,7,6,br_challengers_s2_2022
LKZK1NG,Odin,"Omen, Brimstone, Viper",190,1.12,198.1,1.08,75.0,129.4,0.71,0.37,0.05,0.04,25.0,10%,3/30,29,134,124,70,10,7,br_challengers_s2_2022
jules,B4,"Killjoy, Cypher",101,1.12,219.6,1.21,73.0,147.3,0.8,0.21,0.09,0.08,24.0,11%,1/9,24,81,67,21,9,8,br_challengers_s2_2022
sw,doid,"Viper, Brimstone, Astra",235,1.12,236.8,1.19,74.0,155.5,0.82,0.31,0.1,0.1,26.0,14%,3/22,30,192,161,74,23,23,br_challengers_s2_2022
japo,não,"Chamber, Jett",108,1.12,234.2,1.21,70.0,150.8,0.86,0.1,0.12,0.13,25.0,30%,3/10,25,93,77,11,13,14,br_challengers_s2_2022
all eyez on me,trop,Jett,103,1.12,215.8,1.1,64.0,152.5,0.75,0.17,0.17,0.11,28.0,10%,1/10,25,77,70,18,17,11,br_challengers_s2_2022
vett,Mede,"Chamber, Jett",64,1.12,233.8,1.13,72.0,149.8,0.81,0.22,0.11,0.2,34.0,20%,1/5,18,52,46,14,7,13,br_challengers_s2_2022
Zanatsu,Utah,"Kayo, Raze, Sova",256,1.12,232.6,1.11,72.0,146.6,0.77,0.39,0.09,0.09,23.0,13%,2/15,23,197,178,100,23,24,br_challengers_s2_2022
Fatmarino,Bomb,"Brimstone, Sova, Kayo",454,1.11,223.0,1.17,73.0,146.4,0.78,0.31,0.08,0.07,26.0,13%,5/40,24,355,303,143,35,33,br_challengers_s2_2022
LittleCake,Aque,"Sova, Skye",77,1.11,190.5,1.04,70.0,134.2,0.68,0.34,0.03,0.09,20.0,,0/7,25,52,50,26,2,7,br_challengers_s2_2022
RgLMeister,VKS,"Viper, Omen, Brimstone",677,1.11,199.0,1.1,77.0,134.1,0.7,0.34,0.05,0.06,21.0,19%,21/111,31,475,431,233,35,41,br_challengers_s2_2022
nauta,JAMP,"Viper, Brimstone",40,1.11,215.5,1.0,70.0,144.0,0.73,0.25,0.18,0.05,27.0,25%,2/8,15,29,29,10,7,2,br_challengers_s2_2022
nowise,hash,"Chamber, Killjoy, Sage",105,1.11,186.0,1.22,75.0,128.4,0.64,0.24,0.05,0.08,22.0,12%,2/17,16,67,55,25,5,8,br_challengers_s2_2022
Khalil,FUR,"Omen, Viper, Brimstone",290,1.11,186.8,1.08,73.0,131.0,0.68,0.29,0.04,0.03,28.0,14%,7/51,30,198,184,83,13,8,br_challengers_s2_2022
miuz,BOD,Jett,116,1.11,222.4,1.06,66.0,147.8,0.76,0.15,0.16,0.12,24.0,,0/12,24,88,83,17,19,14,br_challengers_s2_2022
daiki,TLV,Sova,207,1.11,194.4,1.16,71.0,130.7,0.72,0.3,0.04,0.06,28.0,21%,5/24,25,149,128,62,8,12,br_challengers_s2_2022
vtrg0d,SG,"Sage, Killjoy, Cypher",276,1.11,215.7,1.15,76.0,142.8,0.74,0.25,0.09,0.08,18.0,21%,6/29,24,203,177,69,26,21,br_challengers_s2_2022
KASMA,OS G,Sova,85,1.11,213.8,1.19,73.0,136.4,0.73,0.39,0.05,0.02,19.0,14%,1/7,16,62,52,33,4,2,br_challengers_s2_2022
high,RD E,"Jett, Raze",265,1.10,227.8,1.19,74.0,145.5,0.81,0.16,0.19,0.15,27.0,18%,4/22,27,214,180,43,50,41,br_challengers_s2_2022
Foxy,Virt,"Sage, Viper, Killjoy",86,1.10,217.3,1.21,72.0,146.0,0.8,0.2,0.1,0.09,22.0,11%,1/9,24,69,57,17,9,8,br_challengers_s2_2022
txddy,MIBR,"Viper, Killjoy, Sage",305,1.10,209.9,1.24,70.0,134.0,0.74,0.22,0.04,0.05,24.0,26%,9/35,26,227,183,66,13,15,br_challengers_s2_2022
fzkk,Trop,"Brimstone, Viper, Omen",594,1.10,218.7,1.09,74.0,137.5,0.75,0.35,0.11,0.11,20.0,23%,16/71,26,444,406,208,63,64,br_challengers_s2_2022
paradoox,Amig,"Jett, Chamber, Raze",86,1.10,228.8,0.99,67.0,150.5,0.79,0.17,0.17,0.14,24.0,22%,2/9,22,68,69,15,15,12,br_challengers_s2_2022
pANcada,LOUD,"Omen, Viper, Astra",307,1.10,181.4,1.23,80.0,122.4,0.68,0.34,0.06,0.05,35.0,21%,7/34,27,209,170,104,19,15,br_challengers_s2_2022
guuih,Rise,"Killjoy, Viper, Cypher",291,1.10,205.2,1.19,73.0,139.7,0.75,0.2,0.04,0.05,23.0,18%,8/44,25,217,182,57,11,16,br_challengers_s2_2022
Champzera,LUSA,"Omen, Brimstone, Viper",307,1.10,220.6,1.14,75.0,137.2,0.76,0.33,0.12,0.07,24.0,13%,3/24,22,233,204,102,36,22,br_challengers_s2_2022
EzTevão,Virt,"Jett, Chamber",86,1.10,247.0,1.12,72.0,152.9,0.86,0.21,0.21,0.17,24.0,11%,1/9,25,74,66,18,18,15,br_challengers_s2_2022
BRNWOWZK1,ING,"Jett, Raze",135,1.10,251.8,1.14,73.0,162.7,0.76,0.28,0.13,0.16,18.0,27%,3/11,22,103,90,38,17,21,br_challengers_s2_2022
RMN,Rene,"Jett, Raze",173,1.10,249.6,1.14,65.0,157.0,0.84,0.17,0.12,0.17,27.0,40%,6/15,30,146,128,29,20,29,br_challengers_s2_2022
pAradise,fake,"Jett, Killjoy, Chamber",112,1.10,213.0,1.06,70.0,139.4,0.79,0.13,0.13,0.13,34.0,17%,3/18,32,88,83,14,15,14,br_challengers_s2_2022
DannyJones,VIM,"Brimstone, Omen",47,1.10,212.5,0.94,72.0,134.8,0.7,0.4,0.04,0.02,27.0,13%,1/8,18,33,35,19,2,1,br_challengers_s2_2022
nzr,FUR,"Kayo, Viper, Fade",290,1.09,207.2,1.1,75.0,139.0,0.74,0.29,0.07,0.08,21.0,9%,3/34,28,214,194,83,20,22,br_challengers_s2_2022
xand,NIP,"Chamber, Raze, Jett",522,1.09,235.6,1.1,75.0,152.0,0.82,0.2,0.16,0.12,25.0,13%,8/60,27,430,392,104,81,63,br_challengers_s2_2022
Lionnn,BLC,Sova,76,1.09,218.8,1.12,74.0,141.6,0.76,0.26,0.09,0.07,26.0,14%,1/7,20,58,52,20,7,5,br_challengers_s2_2022
Igaum,puGG,"Cypher, Killjoy, Viper",190,1.09,201.9,1.16,77.0,131.2,0.72,0.28,0.06,0.08,20.0,21%,5/24,20,136,117,53,11,16,br_challengers_s2_2022
spasz,Bomb,"Viper, Omen, Brimstone",454,1.09,196.8,1.19,78.0,129.8,0.71,0.28,0.06,0.05,34.0,16%,10/64,21,323,271,129,27,22,br_challengers_s2_2022
f0rsaken,VIM,Sova,79,1.09,190.3,0.92,72.0,131.1,0.58,0.29,0.01,0.01,25.0,5%,1/20,15,46,50,23,1,1,br_challengers_s2_2022
Palozera,tier,Sova,104,1.09,217.2,1.09,76.0,146.3,0.73,0.35,0.03,0.06,34.0,20%,2/10,19,76,70,36,3,6,br_challengers_s2_2022
krain,LBR,"Chamber, Viper, Omen",348,1.09,196.7,1.16,76.0,129.6,0.72,0.22,0.07,0.06,25.0,13%,7/54,26,251,217,75,26,21,br_challengers_s2_2022
Ginilson,JARE,Sova,283,1.09,213.8,1.07,73.0,138.0,0.72,0.35,0.09,0.07,24.0,18%,5/28,27,203,190,98,26,19,br_challengers_s2_2022
deNaro,MIBR,"Sova, Skye, Fade",686,1.09,201.8,1.15,74.0,129.2,0.72,0.32,0.07,0.05,26.0,19%,16/83,27,493,428,218,47,34,br_challengers_s2_2022
tsu,puGG,"Sova, Raze, Jett",198,1.09,248.2,1.13,71.0,151.0,0.81,0.22,0.16,0.11,19.0,14%,3/21,24,160,142,44,32,21,br_challengers_s2_2022
Akxshi,doid,"Jett, Kayo, Sova",329,1.09,216.1,1.14,71.0,143.2,0.78,0.21,0.09,0.1,28.0,14%,5/36,31,255,223,68,31,32,br_challengers_s2_2022
pavel,BOND,"Raze, Sova",89,1.09,258.3,1.06,71.0,168.9,0.83,0.25,0.09,0.12,16.0,7%,1/14,19,74,70,22,8,11,br_challengers_s2_2022
Brinks,Trop,"Raze, Chamber, Kayo",805,1.08,225.0,1.1,74.0,146.7,0.76,0.3,0.12,0.09,20.0,16%,15/94,30,612,556,244,95,70,br_challengers_s2_2022
heat,VKS,"Chamber, Jett",542,1.08,217.7,1.15,69.0,145.1,0.8,0.11,0.13,0.12,31.0,10%,7/68,39,436,380,62,70,63,br_challengers_s2_2022
bld,Trop,"Sage, Chamber, Jett",594,1.08,214.3,1.19,72.0,139.3,0.78,0.23,0.13,0.13,33.0,19%,8/43,30,464,389,139,77,79,br_challengers_s2_2022
peet tchutchuco,trop,"Sova, Reyna, Skye",103,1.08,209.6,1.21,76.0,149.2,0.79,0.21,0.07,0.1,29.0,7%,1/14,32,81,67,22,7,10,br_challengers_s2_2022
MATOSS,fake,"Brimstone, Viper",65,1.08,222.7,1.07,78.0,139.7,0.74,0.52,0.05,0.14,14.0,17%,1/6,19,48,45,34,3,9,br_challengers_s2_2022
szk,SG,"Sova, Skye, Breach",365,1.08,218.9,1.09,72.0,144.9,0.76,0.3,0.08,0.05,22.0,24%,9/37,29,279,257,110,28,20,br_challengers_s2_2022
VHL,3P,"Omen, Viper",291,1.08,208.3,1.17,75.0,134.0,0.78,0.28,0.09,0.07,40.0,20%,6/30,23,227,194,82,25,20,br_challengers_s2_2022
Pierre,hash,"Skye, Sova",105,1.08,195.3,1.09,69.0,127.1,0.67,0.28,0.07,0.1,25.0,,0/9,18,70,64,29,7,11,br_challengers_s2_2022
kakaJESUS,3P,"Killjoy, Chamber, Brimstone",291,1.08,201.1,1.12,76.0,130.5,0.7,0.25,0.07,0.09,18.0,19%,6/32,22,204,182,73,20,26,br_challengers_s2_2022
dgzin,GLB,"Neon, Chamber",211,1.07,237.2,1.11,69.0,148.1,0.84,0.13,0.19,0.14,27.0,15%,4/26,29,177,159,27,40,30,br_challengers_s2_2022
Gabs,TEAM,"Sova, Killjoy, Sage",55,1.07,199.0,1.0,73.0,130.0,0.67,0.27,0.09,0.11,23.0,9%,1/11,18,37,37,15,5,6,br_challengers_s2_2022
pryze,TZ,"Skye, Kayo, Raze",356,1.07,204.1,1.08,74.0,141.2,0.72,0.3,0.08,0.09,26.0,24%,8/34,26,257,239,106,30,33,br_challengers_s2_2022
muri,ORN,"Chamber, Raze",122,1.07,221.8,1.14,71.0,144.6,0.79,0.12,0.11,0.13,19.0,20%,3/15,25,96,84,15,13,16,br_challengers_s2_2022
gustt1nha,LOS,"Sova, Kayo, Fade",737,1.07,198.4,1.01,73.0,137.0,0.67,0.39,0.06,0.06,24.0,18%,17/92,31,491,485,291,44,43,br_challengers_s2_2022
vinizin,IRLV,Jett,89,1.07,225.0,1.19,61.0,134.6,0.83,0.1,0.17,0.16,31.0,13%,1/8,21,74,62,9,15,14,br_challengers_s2_2022
vhz,TZ,"Sage, Killjoy, Viper",356,1.07,200.9,1.13,72.0,134.5,0.73,0.23,0.06,0.1,28.0,11%,4/38,26,261,231,81,22,34,br_challengers_s2_2022
hugofar,n0gr,Chamber,105,1.07,220.2,1.15,71.0,139.8,0.79,0.14,0.14,0.09,19.0,16%,3/19,23,83,72,15,15,9,br_challengers_s2_2022
borgeS,Mani,"Killjoy, Kayo, Chamber",70,1.07,204.8,1.14,73.0,134.5,0.71,0.36,0.11,0.07,31.0,33%,3/9,16,50,44,25,8,5,br_challengers_s2_2022
xikaz,OIP,"Raze, Viper, Kayo",257,1.07,202.1,1.17,76.0,137.0,0.73,0.25,0.07,0.06,19.0,19%,4/21,32,188,161,65,19,15,br_challengers_s2_2022
tayhuhu,B4,"Breach, Sova",101,1.07,178.4,1.1,77.0,119.7,0.67,0.31,0.06,0.03,20.0,17%,2/12,25,68,62,31,6,3,br_challengers_s2_2022
bardek,não,"Astra, Viper",108,1.07,171.4,1.05,69.0,120.6,0.61,0.22,0.04,0.05,32.0,19%,4/21,17,66,63,24,4,5,br_challengers_s2_2022
jzz,MIBR,"Reyna, Jett, Raze",686,1.06,246.0,1.14,72.0,158.5,0.84,0.16,0.22,0.17,28.0,14%,5/36,29,579,508,107,152,116,br_challengers_s2_2022
Zap,TZ,"Raze, Jett",356,1.06,234.1,1.09,74.0,150.8,0.79,0.21,0.17,0.17,22.0,7%,2/28,28,282,258,76,62,60,br_challengers_s2_2022
Saint Cap,JARE,"Brimstone, Omen",283,1.06,207.0,1.04,73.0,133.8,0.71,0.34,0.08,0.07,24.0,23%,10/44,21,202,195,95,22,21,br_challengers_s2_2022
Plato,Arca,"Reyna, Breach",200,1.06,245.8,1.09,71.0,159.5,0.86,0.23,0.13,0.13,26.0,18%,2/11,26,171,157,45,26,25,br_challengers_s2_2022
pMdr1,LUSA,"Kayo, Breach, Skye",307,1.06,208.7,1.15,76.0,129.4,0.74,0.33,0.07,0.13,29.0,14%,3/21,25,226,196,101,22,39,br_challengers_s2_2022
nev,tier,"Cypher, Raze",104,1.06,215.0,1.11,71.0,142.6,0.76,0.16,0.09,0.08,30.0,20%,3/15,18,79,71,17,9,8,br_challengers_s2_2022
GuiMa,Só,"Sage, Omen, Viper",245,1.06,196.9,1.07,73.0,127.6,0.69,0.34,0.1,0.06,24.0,23%,7/30,22,168,157,84,24,15,br_challengers_s2_2022
matheuzin,TBK,"Astra, Viper, Breach",248,1.05,197.8,1.07,74.0,130.5,0.71,0.25,0.06,0.07,20.0,19%,7/37,23,176,165,63,14,17,br_challengers_s2_2022
wilfps,BTF,"Jett, Raze",149,1.05,244.0,1.02,68.0,155.9,0.81,0.14,0.26,0.19,26.0,14%,2/14,23,121,119,21,38,29,br_challengers_s2_2022
leo1,Flow,"Sage, Chamber, Kayo",97,1.05,223.2,1.04,68.0,140.8,0.8,0.26,0.15,0.12,23.0,9%,1/11,21,78,75,25,15,12,br_challengers_s2_2022
bNhardneja,BOND,Chamber,240,1.05,200.7,1.17,68.0,129.3,0.75,0.12,0.1,0.08,21.0,9%,3/32,27,179,153,29,23,19,br_challengers_s2_2022
Luskka,Rise,"Kayo, Breach, Skye",291,1.05,200.6,0.96,74.0,136.8,0.66,0.48,0.09,0.08,29.0,16%,4/25,19,192,199,140,25,23,br_challengers_s2_2022
furyzi,BOND,"Kayo, Skye, Reyna",195,1.05,224.7,1.15,71.0,143.6,0.78,0.24,0.1,0.09,23.0,14%,2/14,24,153,133,46,20,18,br_challengers_s2_2022
pvS,Mani,"Sova, Viper, Killjoy",247,1.05,209.8,1.06,74.0,139.4,0.72,0.32,0.08,0.06,20.0,13%,3/24,28,179,169,78,20,14,br_challengers_s2_2022
Zek,Amig,"Killjoy, Chamber",44,1.04,260.5,1.03,70.0,164.2,0.89,0.16,0.14,0.07,39.0,,0/5,24,39,38,7,6,3,br_challengers_s2_2022
dods,JARE,"Jett, Raze",283,1.04,221.5,1.12,72.0,141.4,0.8,0.21,0.14,0.12,25.0,26%,5/19,25,226,201,60,41,34,br_challengers_s2_2022
kato,LUSA,"Killjoy, Raze, Viper",307,1.04,197.4,1.05,72.0,132.0,0.65,0.26,0.08,0.08,20.0,8%,3/36,21,200,190,79,26,26,br_challengers_s2_2022
yon,Amig,"Omen, Brimstone",86,1.04,195.0,0.94,66.0,116.0,0.71,0.34,0.07,0.07,26.0,31%,4/13,19,61,65,29,6,6,br_challengers_s2_2022
Celin,puGG,"Omen, Viper",180,1.04,184.3,1.08,69.0,131.8,0.67,0.35,0.05,0.07,30.0,22%,4/18,22,120,111,63,9,13,br_challengers_s2_2022
Royal,The,Sova,39,1.04,222.0,0.9,67.0,142.3,0.69,0.31,0.05,0.05,19.0,20%,2/10,15,27,30,12,2,2,br_challengers_s2_2022
byTheFire,hash,"Brimstone, Omen, Viper",105,1.04,183.3,0.98,74.0,120.0,0.6,0.33,0.1,0.03,31.0,18%,2/11,15,63,64,35,10,3,br_challengers_s2_2022
rst,Rene,"Killjoy, Viper, Cypher",173,1.04,177.6,0.98,74.0,119.9,0.62,0.29,0.08,0.08,20.0,13%,4/32,23,107,109,50,13,13,br_challengers_s2_2022
devil aim,King,"Reyna, Chamber",43,1.04,239.0,1.0,63.0,148.4,0.81,0.19,0.16,0.12,29.0,14%,1/7,19,35,35,8,7,5,br_challengers_s2_2022
HiiiK,OS G,"Kayo, Skye",85,1.04,189.8,0.96,72.0,121.5,0.64,0.52,0.07,0.11,34.0,,0/3,15,54,56,44,6,9,br_challengers_s2_2022
Steve Magal,Roya,"Breach, Sova, Viper",64,1.04,194.7,0.91,67.0,139.0,0.64,0.27,0.05,0.05,20.0,23%,3/13,22,41,45,17,3,3,br_challengers_s2_2022
Kshow,ASTRO,"Kayo, Skye, Chamber",195,1.04,204.3,1.03,72.0,131.6,0.71,0.38,0.08,0.12,29.0,8%,2/25,20,139,135,75,15,23,br_challengers_s2_2022
jow,OIP,"Sova, Sage",257,1.04,218.7,1.08,75.0,141.4,0.72,0.29,0.09,0.04,24.0,19%,5/26,21,186,173,74,22,11,br_challengers_s2_2022
vitrix,Bomb,"Breach, Kayo, Skye",454,1.03,197.8,1.08,74.0,128.6,0.69,0.34,0.08,0.06,27.0,19%,11/59,22,315,293,153,38,25,br_challengers_s2_2022
carnz,BOD,Sova,116,1.03,213.4,1.0,63.0,139.1,0.69,0.22,0.07,0.08,14.0,18%,3/17,20,80,80,26,8,9,br_challengers_s2_2022
kon4n,TBK,"Raze, Neon, Sage",248,1.03,221.5,1.03,71.0,146.6,0.76,0.26,0.1,0.1,23.0,18%,4/22,22,188,182,64,24,25,br_challengers_s2_2022
mxm,Só,"Viper, Sage, Chamber",245,1.03,211.1,1.12,70.0,135.3,0.74,0.22,0.13,0.14,34.0,20%,4/20,21,181,161,55,33,35,br_challengers_s2_2022
fznnn,Trop,"Skye, Sova, Cypher",594,1.03,196.2,1.02,70.0,129.5,0.67,0.31,0.07,0.09,23.0,16%,10/63,21,398,389,183,40,54,br_challengers_s2_2022
Mathzão,Look,"Omen, Viper, Brimstone",101,1.03,208.2,0.96,65.0,134.4,0.7,0.3,0.04,0.02,23.0,19%,3/16,16,71,74,30,4,2,br_challengers_s2_2022
RND,LOS,"Skye, Chamber, Jett",737,1.03,221.9,1.13,67.0,136.9,0.81,0.19,0.15,0.12,22.0,10%,6/61,37,600,530,141,113,88,br_challengers_s2_2022
Lmszin,EXOD,"Viper, Chamber, Killjoy",215,1.03,202.0,1.07,72.0,133.4,0.71,0.22,0.08,0.12,18.0,27%,7/26,23,153,143,48,17,25,br_challengers_s2_2022
guedeszz,Roya,"Chamber, Jett",64,1.03,242.3,1.1,61.0,155.0,0.86,0.13,0.22,0.14,20.0,,0/7,21,55,50,8,14,9,br_challengers_s2_2022
serial,Nort,"Jett, Yoru",49,1.03,230.5,0.97,67.0,145.8,0.78,0.14,0.18,0.16,25.0,,0/3,23,38,39,7,9,8,br_challengers_s2_2022
bZx,Salu,Sova,40,1.03,201.0,1.0,63.0,130.7,0.73,0.18,0.08,0.05,23.0,,0/6,21,29,29,7,3,2,br_challengers_s2_2022
SmK,ROLO,"Killjoy, Chamber, Cypher",281,1.03,189.2,1.0,80.0,121.6,0.64,0.41,0.05,0.05,18.0,19%,6/31,19,181,181,116,14,15,br_challengers_s2_2022
Rig,Akum,Skye,44,1.03,249.0,1.0,77.0,157.7,0.84,0.16,0.09,0.11,31.0,20%,1/5,21,37,37,7,4,5,br_challengers_s2_2022
Nyxx,ORN,"Brimstone, Omen, Viper",122,1.03,202.4,1.01,66.0,129.1,0.71,0.31,0.08,0.08,22.0,19%,5/27,27,87,86,38,10,10,br_challengers_s2_2022
LKSHOW,SH,Sova,122,1.03,191.4,0.85,74.0,136.5,0.58,0.49,0.06,0.04,17.0,,0/22,21,71,84,60,7,5,br_challengers_s2_2022
eternal,Só,"Sova, Breach",245,1.02,189.8,1.05,75.0,122.9,0.64,0.32,0.05,0.03,16.0,16%,5/32,19,157,150,78,13,7,br_challengers_s2_2022
kid,ROLO,"Jett, Raze, Kayo",281,1.02,217.9,1.14,71.0,144.3,0.77,0.21,0.13,0.11,27.0,13%,4/31,26,217,190,58,37,30,br_challengers_s2_2022
Cr4zYLEm0N,NDT,"Killjoy, Chamber",34,1.02,209.5,0.93,56.0,131.5,0.74,0.09,0.18,0.18,25.0,,0/11,17,25,27,3,6,6,br_challengers_s2_2022
gTTO,trop,"Skye, Sova",192,1.02,175.2,0.96,71.0,121.5,0.67,0.26,0.05,0.03,23.0,10%,3/29,29,129,135,49,10,5,br_challengers_s2_2022
duum,Arca,"Jett, Sova",71,1.02,218.3,1.0,68.0,139.4,0.72,0.24,0.2,0.11,21.0,11%,1/9,16,51,51,17,14,8,br_challengers_s2_2022
fra,ODK,"Sova, Cypher, Sage",345,1.02,173.4,1.04,74.0,111.2,0.61,0.34,0.09,0.09,23.0,21%,7/33,20,212,204,116,30,32,br_challengers_s2_2022
rajadaJJ,REI,"Jett, Chamber",364,1.02,205.2,1.11,70.0,128.6,0.73,0.15,0.16,0.14,25.0,13%,4/30,26,267,241,54,57,51,br_challengers_s2_2022
TRIGUE,Moto,"Viper, Cypher",48,1.02,193.0,1.11,73.0,124.6,0.65,0.33,0.08,0.17,29.0,20%,1/5,16,31,28,16,4,8,br_challengers_s2_2022
DiMAS,OIP,"Jett, Kayo, Killjoy",257,1.02,221.6,1.08,69.0,140.1,0.76,0.23,0.16,0.13,28.0,28%,5/18,25,196,181,59,41,34,br_challengers_s2_2022
moura,3P,"Sova, Breach, Skye",291,1.02,169.8,0.98,75.0,112.4,0.58,0.33,0.04,0.07,23.0,15%,5/34,19,168,171,96,12,19,br_challengers_s2_2022
antG,GLP,"Kayo, Skye, Raze",167,1.02,218.3,1.02,74.0,137.8,0.75,0.25,0.11,0.09,24.0,15%,2/13,24,125,123,42,18,15,br_challengers_s2_2022
Palla,Odin,"Jett, Kayo, Chamber",237,1.02,218.7,0.98,69.0,144.5,0.75,0.35,0.16,0.15,27.0,21%,4/19,29,178,181,83,37,36,br_challengers_s2_2022
nicksz,IRLV,"Sova, Viper",89,1.02,208.8,0.99,62.0,132.7,0.74,0.27,0.12,0.16,17.0,18%,2/11,23,66,67,24,11,14,br_challengers_s2_2022
Luck1y,7Kra,"Chamber, Kayo",42,1.01,234.0,0.97,67.0,151.6,0.79,0.24,0.1,0.05,23.0,14%,1/7,22,33,34,10,4,2,br_challengers_s2_2022
raytek,ASTRO,"Sova, Skye",195,1.01,186.1,1.0,68.0,122.6,0.65,0.29,0.06,0.1,26.0,9%,2/22,21,126,126,57,11,20,br_challengers_s2_2022
zaninZS,EXOD,"Sage, Skye, Jett",215,1.01,184.8,1.02,73.0,115.5,0.67,0.28,0.08,0.06,31.0,36%,10/28,19,143,140,61,18,13,br_challengers_s2_2022
axeddy,ODK,"Kayo, Sage, Skye",345,1.01,199.2,1.01,75.0,125.9,0.66,0.39,0.14,0.1,22.0,29%,6/21,19,226,223,135,47,35,br_challengers_s2_2022
jayp,SG,"Jett, Raze",365,1.01,221.3,1.08,67.0,140.1,0.78,0.16,0.16,0.16,23.0,9%,4/45,26,285,265,59,60,60,br_challengers_s2_2022
isaa,GLP,"Chamber, Jett",167,1.01,206.2,0.98,68.0,134.2,0.72,0.15,0.2,0.1,28.0,22%,4/18,19,120,122,25,33,17,br_challengers_s2_2022
pollo,VKS,"Raze, Neon, Jett",114,1.01,228.0,1.02,67.0,146.2,0.8,0.11,0.17,0.18,24.0,6%,1/16,27,91,89,13,19,20,br_challengers_s2_2022
bielmonster,SG,"Skye, Kayo, Reyna",318,1.01,196.8,0.95,74.0,129.0,0.69,0.42,0.09,0.11,25.0,19%,4/21,34,219,231,135,30,35,br_challengers_s2_2022
Riquen,não,"Breach, Sova, Skye",108,1.00,196.8,0.87,69.0,130.0,0.63,0.35,0.09,0.08,20.0,,0/13,15,68,78,38,10,9,br_challengers_s2_2022
gobera,Supr,Jett,42,1.00,243.5,0.95,81.0,157.4,0.83,0.19,0.14,0.19,22.0,20%,1/5,19,35,37,8,6,8,br_challengers_s2_2022
LucK,boli,"Reyna, Kayo",33,1.00,212.5,0.76,55.0,156.0,0.67,0.33,0.12,0.15,27.0,,0/1,17,22,29,11,4,5,br_challengers_s2_2022
Ludzera,4 ru,"Omen, Viper",112,1.00,210.4,0.99,77.0,129.2,0.7,0.35,0.09,0.08,18.0,13%,1/8,23,78,79,39,10,9,br_challengers_s2_2022
bLc,Alph,"Kayo, Chamber",106,1.00,213.6,0.95,65.0,140.8,0.72,0.32,0.11,0.15,23.0,17%,2/12,19,76,80,34,12,16,br_challengers_s2_2022
Moonlight,Os S,"Omen, Brimstone, Viper",204,1.00,197.6,0.97,75.0,130.4,0.71,0.34,0.1,0.07,22.0,14%,3/21,29,144,149,70,21,14,br_challengers_s2_2022
DOLLAR,King,"Sage, Brimstone",43,1.00,212.5,0.97,67.0,132.7,0.72,0.53,0.02,0.07,33.0,,0/10,17,31,32,23,1,3,br_challengers_s2_2022
m4ndzin,VIM,"Sage, Killjoy, Chamber",126,1.00,193.8,0.96,62.0,132.3,0.69,0.26,0.04,0.09,28.0,18%,3/17,21,87,91,33,5,11,br_challengers_s2_2022
gtn,MIBR,"Chamber, Kayo, Breach",686,1.00,199.0,1.0,72.0,127.6,0.68,0.36,0.09,0.1,25.0,19%,11/59,24,465,467,245,64,70,br_challengers_s2_2022
Cintra,Akum,Jett,44,1.00,241.5,1.03,66.0,151.8,0.89,0.14,0.16,0.11,20.0,50%,1/2,30,39,38,6,7,5,br_challengers_s2_2022
