Player,Equipa,Agente,Rounds,R2.0,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Campeonato
pryze,FUR,"Fade, Sova, Tejo",236,0.89,168.3,0.83,67.0,114.6,0.59,0.22,0.03,0.07,27.0,23%,9/40,23,140,168,52,7,16,vct_americas_2025_s1
tuyz,LOUD,"Cypher, Viper, Vyse",243,0.88,161.1,0.85,71.0,110.7,0.56,0.35,0.05,0.05,30.0,12%,6/50,16,137,162,85,11,13,vct_americas_2025_s1
adverso,KRÜ,"Tejo, Sova",323,0.88,166.8,0.82,70.0,116.8,0.56,0.26,0.06,0.08,20.0,19%,5/26,18,181,220,85,19,27,vct_americas_2025_s1
Rossy,LEV,"Breach, Tejo, Deadlock",229,0.87,174.6,0.83,71.0,115.1,0.62,0.37,0.06,0.1,29.0,14%,3/22,19,143,173,85,13,23,vct_americas_2025_s1
Khalil,FUR,"Omen, Astra, Brimstone",236,0.87,175.8,0.84,68.0,116.4,0.62,0.21,0.06,0.1,27.0,14%,5/35,23,147,176,50,15,24,vct_americas_2025_s1
Zellsis,SEN,"Vyse, Cypher, Viper",475,0.87,173.3,0.87,67.0,114.5,0.59,0.26,0.08,0.11,24.0,15%,7/48,21,281,322,122,40,54,vct_americas_2025_s1
gobera,2G,"Cypher, Tejo",234,0.86,177.7,0.86,66.0,126.0,0.62,0.18,0.07,0.1,28.0,3%,1/36,21,146,170,43,17,23,vct_americas_2025_s1
neT,C9,"Deadlock, Cypher, Viper",367,0.85,169.6,0.88,70.0,107.3,0.61,0.19,0.08,0.08,29.0,10%,4/41,23,223,252,68,28,28,vct_americas_2025_s1
PxS,2G,"Breach, Fade, Kayo",189,0.81,164.4,0.75,75.0,105.9,0.56,0.4,0.08,0.11,28.0,24%,7/29,16,106,141,76,15,21,vct_americas_2025_s1
silentzz,2G,"Iso, Vyse, Killjoy",234,0.81,188.5,0.82,66.0,127.2,0.65,0.17,0.07,0.09,37.0,9%,2/23,21,152,185,39,17,20,vct_americas_2025_s1
artzin,MIBR,"Breach, Harbor, Kayo",500,0.80,182.5,0.78,69.0,118.6,0.6,0.39,0.1,0.12,23.0,13%,4/32,22,299,383,197,52,61,vct_americas_2025_s1
heat,FUR,"Clove, Vyse, Cypher",236,0.80,166.4,0.81,61.0,116.2,0.62,0.16,0.06,0.08,41.0,12%,5/43,23,146,180,38,15,19,vct_americas_2025_s1
FiNESSE,NRG,"Vyse, Cypher, Killjoy",275,0.77,150.7,0.69,67.0,104.4,0.49,0.28,0.07,0.09,19.0,8%,4/49,15,135,196,78,18,24,vct_americas_2025_s1
